PopSize,MutRate,EliteCount,MinObjective,AvgObjective,StdObjective,SuccessRate,AvgRuntime,NumTests,Rank
200.0000,0.1500,20.0000,144.4900,147.1295,1.4509,1.0000,30.0520,10.0000,72.0000
300.0000,0.1000,5.0000,143.2800,147.1295,2.4133,1.0000,30.0545,10.0000,73.0000
150.0000,0.1500,10.0000,145.4450,147.1400,1.6432,1.0000,30.0430,10.0000,74.0000
50.0000,0.1000,10.0000,143.4050,147.1520,2.8316,1.0000,30.0313,10.0000,75.0000
150.0000,0.1000,15.0000,144.8700,147.1970,1.6680,1.0000,30.0416,10.0000,76.0000
200.0000,0.2000,5.0000,143.4050,147.2105,2.3707,1.0000,30.0476,10.0000,77.0000
50.0000,0.2500,15.0000,143.6350,147.2465,2.8488,1.0000,30.0341,10.0000,78.0000
100.0000,0.1500,10.0000,143.1600,147.2925,1.6630,1.0000,30.0348,10.0000,79.0000
50.0000,0.2000,10.0000,143.1600,147.3520,2.7748,1.0000,30.0328,10.0000,80.0000
200.0000,0.0500,20.0000,144.4400,147.3585,1.9687,1.0000,30.0416,10.0000,81.0000
50.0000,0.2000,20.0000,145.4450,147.3860,1.8308,1.0000,30.0328,10.0000,82.0000
300.0000,0.1500,10.0000,144.4900,147.4915,1.8646,1.0000,30.0565,10.0000,83.0000
50.0000,0.1500,5.0000,143.4050,147.5080,3.5563,1.0000,30.0329,10.0000,84.0000
200.0000,0.2500,20.0000,144.4400,147.5670,2.2600,1.0000,30.0486,10.0000,85.0000
150.0000,0.0500,20.0000,145.7000,147.5775,1.6299,1.0000,30.0382,10.0000,86.0000
300.0000,0.2500,15.0000,144.5200,147.6295,2.1045,1.0000,30.0622,10.0000,87.0000
50.0000,0.0500,5.0000,145.4900,147.6510,1.9806,1.0000,30.0323,10.0000,88.0000
200.0000,0.1500,15.0000,144.4400,147.7115,2.4261,1.0000,30.0490,10.0000,89.0000
100.0000,0.0500,15.0000,144.8750,147.7215,2.2087,1.0000,30.0347,10.0000,90.0000
100.0000,0.1000,15.0000,144.4400,147.7355,2.0611,1.0000,30.0347,10.0000,91.0000
200.0000,0.0500,5.0000,144.4400,147.8130,2.6002,1.0000,30.0461,10.0000,92.0000
