ConfigID,PopSize,MutRate,EliteCount,TestNum,Objective,MaxSP,Runtime
4.0000,50.0000,0.0500,20.0000,4.0000,149.0550,998.0000,30.0348
4.0000,50.0000,0.0500,20.0000,5.0000,148.7700,1000.0000,30.0314
4.0000,50.0000,0.0500,20.0000,6.0000,146.2250,998.0000,30.0293
4.0000,50.0000,0.0500,20.0000,7.0000,148.8500,989.0000,30.0276
4.0000,50.0000,0.0500,20.0000,8.0000,151.9000,976.0000,30.0318
4.0000,50.0000,0.0500,20.0000,9.0000,147.4100,1000.0000,30.0324
4.0000,50.0000,0.0500,20.0000,10.0000,143.0850,998.0000,30.0332
5.0000,50.0000,0.1000,5.0000,1.0000,144.5700,1000.0000,30.0343
5.0000,50.0000,0.1000,5.0000,2.0000,150.3100,992.0000,30.0357
5.0000,50.0000,0.1000,5.0000,3.0000,149.0550,998.0000,30.0344
5.0000,50.0000,0.1000,5.0000,4.0000,147.1050,992.0000,30.0310
5.0000,50.0000,0.1000,5.0000,5.0000,149.0550,998.0000,30.0315
5.0000,50.0000,0.1000,5.0000,6.0000,146.7400,990.0000,30.0383
5.0000,50.0000,0.1000,5.0000,7.0000,145.7200,980.0000,30.0326
5.0000,50.0000,0.1000,5.0000,8.0000,150.1450,994.0000,30.0321
5.0000,50.0000,0.1000,5.0000,9.0000,148.8700,992.0000,30.0302
5.0000,50.0000,0.1000,5.0000,10.0000,147.4800,998.0000,30.0334
6.0000,50.0000,0.1000,10.0000,1.0000,148.5550,998.0000,30.0333
6.0000,50.0000,0.1000,10.0000,2.0000,143.4050,1000.0000,30.0319
6.0000,50.0000,0.1000,10.0000,3.0000,152.5150,998.0000,30.0329
6.0000,50.0000,0.1000,10.0000,4.0000,148.5350,1000.0000,30.0274
6.0000,50.0000,0.1000,10.0000,5.0000,146.8650,998.0000,30.0283
6.0000,50.0000,0.1000,10.0000,6.0000,149.4100,997.0000,30.0342
6.0000,50.0000,0.1000,10.0000,7.0000,147.6100,1000.0000,30.0293
6.0000,50.0000,0.1000,10.0000,8.0000,146.5500,994.0000,30.0325
6.0000,50.0000,0.1000,10.0000,9.0000,144.4400,997.0000,30.0311
6.0000,50.0000,0.1000,10.0000,10.0000,143.6350,998.0000,30.0322
7.0000,50.0000,0.1000,15.0000,1.0000,145.7200,980.0000,30.0360
