ConfigID,PopSize,MutRate,EliteCount,TestNum,Objective,MaxSP,Runtime
13.0000,50.0000,0.0500,1.0000,1.0000,153.2300,999.0000,30.0285
13.0000,50.0000,0.0500,1.0000,2.0000,146.1200,997.0000,30.0284
13.0000,50.0000,0.0500,1.0000,3.0000,160.2600,994.0000,30.0454
13.0000,50.0000,0.0500,1.0000,4.0000,155.5200,998.0000,30.0384
13.0000,50.0000,0.0500,1.0000,5.0000,149.7900,990.0000,30.0451
14.0000,50.0000,0.0500,5.0000,1.0000,150.4550,992.0000,30.0355
14.0000,50.0000,0.0500,5.0000,2.0000,144.5150,997.0000,30.0388
14.0000,50.0000,0.0500,5.0000,3.0000,151.2950,1000.0000,30.0292
14.0000,50.0000,0.0500,5.0000,4.0000,149.6400,1000.0000,30.0421
14.0000,50.0000,0.0500,5.0000,5.0000,151.6600,996.0000,30.0478
15.0000,50.0000,0.0500,10.0000,1.0000,146.6850,1000.0000,30.0407
15.0000,50.0000,0.0500,10.0000,2.0000,149.5450,992.0000,30.0445
15.0000,50.0000,0.0500,10.0000,3.0000,151.3350,1000.0000,30.0363
15.0000,50.0000,0.0500,10.0000,4.0000,152.5200,988.0000,30.0413
15.0000,50.0000,0.0500,10.0000,5.0000,150.6950,982.0000,30.0274
16.0000,50.0000,0.1000,1.0000,1.0000,153.1700,985.0000,30.0267
16.0000,50.0000,0.1000,1.0000,2.0000,144.8900,980.0000,30.0318
16.0000,50.0000,0.1000,1.0000,3.0000,144.7150,1000.0000,30.0320
16.0000,50.0000,0.1000,1.0000,4.0000,144.5950,1000.0000,30.0345
16.0000,50.0000,0.1000,1.0000,5.0000,150.5000,999.0000,30.0440
17.0000,50.0000,0.1000,5.0000,1.0000,144.6350,997.0000,30.0425
17.0000,50.0000,0.1000,5.0000,2.0000,150.8400,989.0000,30.0483
17.0000,50.0000,0.1000,5.0000,3.0000,151.1650,989.0000,30.0219
17.0000,50.0000,0.1000,5.0000,4.0000,146.7050,997.0000,30.0264
17.0000,50.0000,0.1000,5.0000,5.0000,150.3000,986.0000,30.0340
18.0000,50.0000,0.1000,10.0000,1.0000,143.6350,998.0000,30.0352
18.0000,50.0000,0.1000,10.0000,2.0000,145.6050,987.0000,30.0256
18.0000,50.0000,0.1000,10.0000,3.0000,148.9650,978.0000,30.0436
18.0000,50.0000,0.1000,10.0000,4.0000,148.7400,992.0000,30.0389
18.0000,50.0000,0.1000,10.0000,5.0000,149.6600,994.0000,30.0315
19.0000,50.0000,0.2000,1.0000,1.0000,147.2850,998.0000,30.0291
19.0000,50.0000,0.2000,1.0000,2.0000,144.8750,994.0000,30.0365
19.0000,50.0000,0.2000,1.0000,3.0000,150.6700,992.0000,30.0487
19.0000,50.0000,0.2000,1.0000,4.0000,145.4900,994.0000,30.0359
19.0000,50.0000,0.2000,1.0000,5.0000,146.7750,991.0000,30.0356
20.0000,50.0000,0.2000,5.0000,1.0000,147.5450,997.0000,30.0346
20.0000,50.0000,0.2000,5.0000,2.0000,147.1050,992.0000,30.0322
20.0000,50.0000,0.2000,5.0000,3.0000,144.7450,980.0000,30.0379
20.0000,50.0000,0.2000,5.0000,4.0000,144.4400,997.0000,30.0334
20.0000,50.0000,0.2000,5.0000,5.0000,145.0650,997.0000,30.0303
21.0000,50.0000,0.2000,10.0000,1.0000,145.1900,1000.0000,30.0440
21.0000,50.0000,0.2000,10.0000,2.0000,145.4900,994.0000,30.0386
21.0000,50.0000,0.2000,10.0000,3.0000,144.4900,997.0000,30.0220
21.0000,50.0000,0.2000,10.0000,4.0000,144.4900,997.0000,30.0364
21.0000,50.0000,0.2000,10.0000,5.0000,146.2250,998.0000,30.0342
22.0000,50.0000,0.3000,1.0000,1.0000,147.9050,992.0000,30.0338
22.0000,50.0000,0.3000,1.0000,2.0000,149.2500,996.0000,30.0486
22.0000,50.0000,0.3000,1.0000,3.0000,144.2350,998.0000,30.0388
22.0000,50.0000,0.3000,1.0000,4.0000,152.4300,1000.0000,30.0360
22.0000,50.0000,0.3000,1.0000,5.0000,151.1250,992.0000,30.0348
23.0000,50.0000,0.3000,5.0000,1.0000,143.9850,998.0000,30.0264
23.0000,50.0000,0.3000,5.0000,2.0000,143.6350,998.0000,30.0306
23.0000,50.0000,0.3000,5.0000,3.0000,146.2250,998.0000,30.0499
23.0000,50.0000,0.3000,5.0000,4.0000,147.1050,992.0000,30.0326
23.0000,50.0000,0.3000,5.0000,5.0000,146.2250,998.0000,30.0222
24.0000,50.0000,0.3000,10.0000,1.0000,148.9850,980.0000,30.0235
24.0000,50.0000,0.3000,10.0000,2.0000,147.4850,992.0000,30.0456
24.0000,50.0000,0.3000,10.0000,3.0000,147.7050,998.0000,30.0485
24.0000,50.0000,0.3000,10.0000,4.0000,149.9650,1000.0000,30.0257
24.0000,50.0000,0.3000,10.0000,5.0000,144.6600,997.0000,30.0377
25.0000,100.0000,0.0500,1.0000,1.0000,152.5500,998.0000,30.0737
25.0000,100.0000,0.0500,1.0000,2.0000,152.6500,992.0000,30.0391
25.0000,100.0000,0.0500,1.0000,3.0000,154.2300,995.0000,30.0363
25.0000,100.0000,0.0500,1.0000,4.0000,146.9600,998.0000,30.0800
25.0000,100.0000,0.0500,1.0000,5.0000,149.6100,997.0000,30.0253
26.0000,100.0000,0.0500,5.0000,1.0000,156.0700,998.0000,30.0376
26.0000,100.0000,0.0500,5.0000,2.0000,147.5100,1000.0000,30.0771
